carId,price,category,type,location,posted,brand,model,year,taxType,condition,bodyType,fuel,transmission,color,source
10764176,550,motorcycles for sale,,phnom penh,01-apr-24,,,2002,plate number,used,,,,black,kh24,,,
10716363,72000,cars for sale,sale,phnom penh,01-apr-24,lexus,lx570,2013,plate number,used,suv,petrol,auto,white,kh24,,,
10764153,450,bicycles,,phnom penh,01-apr-24,,,,,used,,,,,kh24,,,
10764148,350,bicycles,,phnom penh,01-apr-24,,,,,used,,,,,kh24,,,
10769578,1680,motorcycles for sale,,phnom penh,01-apr-24,,,2020,plate number,used,,,,white,kh24,,,
10764143,350,bicycles,,phnom penh,01-apr-24,,,,,used,,,,,kh24,,,
10088397,6900,cars for sale,sale,phnom penh,01-apr-24,kia,truck,2002,plate number,used,pickup,diesel,manual,white,kh24,,,
10524772,189000,cars for sale,sale,phnom penh,01-apr-24,cadillac,escalade esv,2021,plate number,used,suv,petrol,auto,white,kh24,,,
10565204,22800,cars for sale,sale,phnom penh,01-apr-24,toyota,tundra,2007,plate number,used,pickup,petrol,auto,brown,kh24,,,
10565533,17500,cars for sale,sale,phnom penh,01-apr-24,mini,mini cooper s,2011,tax paper,new,sedan,petrol,auto,red,kh24,,,
10632547,1880,motorcycles for sale,,phnom penh,01-apr-24,,,2017,plate number,used,,,,black,kh24,,,
10750269,7800,cars for sale,sale,phnom penh,01-apr-24,kia,truck,2006,plate number,used,pickup,diesel,manual,white,kh24,,,
10755533,15750,cars for sale,sale,phnom penh,01-apr-24,nissan,juke,2013,plate number,used,sedan,petrol,auto,white,kh24,,,
10758960,31500,cars for sale,sale,phnom penh,01-apr-24,toyota,hilux revo,2016,plate number,used,pickup,diesel,auto,white,kh24,,,
10769576,14800,cars for sale,sale,phnom penh,01-apr-24,hyundai,tourism - ទូរីស,2011,plate number,used,suv,diesel,auto,silver,kh24,,,
10769575,7029,cars for sale,sale,svay rieng,01-apr-24,toyota,tacoma,2001,plate number,new,pickup,petrol,auto,gold,kh24,,,
10102287,40900,cars for sale,sale,phnom penh,01-apr-24,lexus,nx,2015,plate number,used,suv,,auto,black,kh24,,,
10769574,34800,cars for sale,sale,phnom penh,01-apr-24,ford,ranger wildtrak,2019,plate number,used,pickup,diesel,auto,white,kh24,,,
10732597,43000,cars for sale,sale,phnom penh,01-apr-24,land rover,range rover vogue,2014,plate number,used,suv,petrol,auto,white,kh24,,,
4767955,168,parts & accessories,,phnom penh,01-apr-24,,,,,used,,,,,kh24,,,
10646383,3000,cars for sale,sale,phnom penh,01-apr-24,toyota,land cruiser,1992,plate number,used,suv,diesel,auto,red,kh24,,,
10457307,100,parts & accessories,,phnom penh,01-apr-24,,,,,new,,,,,kh24,,,
10739925,20,parts & accessories,,phnom penh,01-apr-24,,,,,new,,,,,kh24,,,
10769572,2100,motorcycles for sale,,phnom penh,01-apr-24,,,2022,plate number,used,,,,white,kh24,,,
